WAVE_ID,DEADLINE,LAST_DISPATCH,EST_COMPLETION,DELAY_MIN,STATUS
W_20250701_0925,,2025-07-01 08:00:00,2025-07-01 08:30:00,,ON_TIME
W_20250701_1030,,2025-07-01 08:00:00,2025-07-01 08:30:00,,ON_TIME
W_20250701_1100,,2025-07-01 08:06:12,2025-07-01 08:36:12,,ON_TIME
W_20250701_1130,,2025-07-01 08:06:13,2025-07-01 08:36:13,,ON_TIME
W_20250701_1200,,2025-07-01 08:50:55,2025-07-01 09:20:55,,ON_TIME
W_20250701_1350,,2025-07-01 09:48:15,2025-07-01 10:18:15,,ON_TIME
W_20250701_1500,,2025-07-01 10:38:03,2025-07-01 11:08:03,,ON_TIME
W_20250701_1600,,2025-07-01 11:39:58,2025-07-01 12:09:58,,ON_TIME
W_20250701_1630,,2025-07-01 12:11:26,2025-07-01 12:41:26,,ON_TIME
W_20250701_1730,,2025-07-01 18:30:25,2025-07-01 19:00:25,,ON_TIME
W_20250702_0855,,2025-07-01 19:31:07,2025-07-01 20:01:07,,ON_TIME
W_20250702_0925,,2025-07-01 20:01:24,2025-07-01 20:31:24,,ON_TIME
W_20250702_1030,,2025-07-01 20:37:52,2025-07-01 21:07:52,,ON_TIME
W_20250702_1100,,2025-07-01 21:29:26,2025-07-01 21:59:26,,ON_TIME
W_20250702_1130,,2025-07-01 22:43:50,2025-07-01 23:13:50,,ON_TIME
W_20250702_1200,,2025-07-01 23:45:48,2025-07-02 00:15:48,,ON_TIME
W_20250702_1350,,2025-07-01 23:58:39,2025-07-02 00:28:39,,ON_TIME
